anmalningsalternativKod,antagningsomgangKod,titel,organisation,studieort,utbildningsniva,undervisningssprak,studietakt,undervisningstid,undervisningsform,poang,poangEnhet,valdaAmnesNamn,examinaNamn,forkunskapskrav,studieavgiftTotal,studieavgiftDelsumma,kursbeskrivningUrl,distansBeskrivning,program,ar,startvecka,anmalningskod
60182,HT2026,"Senare del, Kandidatprogram i djurpsykologi (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Zoologi | Husdjursvetenskap | Psykologi | Biologi,Kandidatexamen,,454000,75700,https://liu.se/utbildning/program/6kdjp,,True,2026,202636,HT2026-LIU-60182
60181,HT2026,"Senare del, Kandidatprogram i flygtransport och logistik (ej åk 1)",Linköpings universitet,Norrköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Logistik | Teknik i samhällsperspektiv | Samhällsplanering | Samhällsbyggnadsteknik,Kandidatexamen,,450500,75100,https://liu.se/utbildning/program/6kftl,,True,2026,202636,HT2026-LIU-60181
60171,HT2026,"Senare del, Kandidatprogram i innovativ programmering (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Datateknik | Data | Dataspelsutveckling,Kandidatexamen,,489200,81600,https://liu.se/utbildning/program/6kipr,,True,2026,202636,HT2026-LIU-60171
60155,HT2026,"Senare del, Kandidatprogram i kemi - molekylär design (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Analytisk kemi | Oorganisk kemi | Organisk kemi | Läkemedelskemi | Kemi | Fysikalisk kemi | Biokemi,Kandidatexamen,,489200,81900,https://liu.se/utbildning/program/6kkem,,True,2026,202636,HT2026-LIU-60155
60170,HT2026,"Senare del, Kandidatprogram i samhällets logistik (ej åk 1)",Linköpings universitet,Norrköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Ekonomi | Logistik | Samhälls- och beteendevetenskap | Teknik i samhällsperspektiv | Samhällsplanering | Samhällsbyggnadsteknik,Kandidatexamen,,450500,75100,https://liu.se/utbildning/program/6klog,,True,2026,202636,HT2026-LIU-60170
90245,HT2026,"Senare del, Masterprogram i pedagogiskt arbete",Linköpings universitet,Linköping,Avancerad nivå,Svenska,50,Dagtid,Distans,"60,0",hp,"Pedagogik, utbildningsvetenskap och didaktik | Barn och ungdom | Pedagogik | Specialpedagogik",,"Lärarexamen om minst 180hp eller Kandidatexamen 180hp i huvudområdena didaktik, pedagogik, pedagogiskt arbete eller specialpedagogik eller Kandidatexamen 180hp i ett annat huvudområde samt tre års yrkeslivserfarenhet på minst halvtid i pedagogisk verksamhet. Godkänd svenska och engelska motsvarande grundläggande behörighet på grundnivå Därutöver krävs magisterexamen i pedagogiskt arbete.",123000,61500,https://liu.se/utbildning/program/L7PYS,,True,2026,202634,HT2026-LIU-90245
89749,HT2026,"Senare del, Musik, konstnärlig kandidat 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Piteå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89749
89762,HT2026,"Senare del, Produktion 120 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Distans,"120,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,280000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89762
89746,HT2026,"Senare del, Rättsvetenskap, kandidat 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89746
89761,HT2026,"Senare del, Samhällsbyggnad 120 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"120,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,280000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89761
